CountryName,date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,ConfirmedCases,StringencyIndex,2020_sca,mean_sca,inc,mean,dif
Germany,20200330,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,2.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,66885.0,76.85,0.014913460645908455,0.3084749099883137,0.009708737864077669,0.20081871738758034,0.29356144934240525
Germany,20200406,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,2.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,103374.0,76.85,0.0,0.1391514553519926,0.0,0.09058829707563884,0.1391514553519926
Denmark,20200210,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6762614720980045,1.0,0.23255813953488372,0.343887903022784,0.32373852790199553
Denmark,20200217,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6223379650028582,0.8920482893836377,0.21401449775629963,0.3067646156312007,0.26971032438077946
Denmark,20200224,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6467023348525027,0.7887088189738394,0.22239310981236543,0.27122742185249016,0.14200648412133665
Denmark,20200302,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,2.0,1.0,0.0,1.0,0.0,,4.0,11.11,0.6499436446274537,0.6967944955043348,0.2235077570339206,0.2396191978968044,0.04685085087688112
Denmark,20200309,0.0,,0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,90.0,25.93,0.5749508181030943,0.5517586013588921,0.19771863117870722,0.18974310839609362,-0.023192216744202243
Denmark,20200316,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,914.0,65.74,0.19336770704091474,0.5240764700978283,0.0664968152866242,0.18022355832552495,0.33070876305691355
Denmark,20200323,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,1450.0,72.22,0.056239024250992344,0.5032050898289141,0.019339920117721253,0.17304614313165692,0.44696606557792173
Denmark,20200330,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,2577.0,72.22,0.015477181695098652,0.4041314022774968,0.0053224155578300925,0.13897590047486552,0.3886542205823981
